Iter = 52, 瞷︽秆cost = 112329.26, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 53, 瞷︽秆cost = 112375.74, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 54, 瞷︽秆cost = 112359.65, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 55, 瞷︽秆cost = 112338.82, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 56, 瞷︽秆cost = 112310.89, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 57, 瞷︽秆cost = 112300.06, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 58, 瞷︽秆cost = 112298.17, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 59, 瞷︽秆cost = 112295.08, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 60, 瞷︽秆cost = 112285.66, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 61, 瞷︽秆cost = 112283.74, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 62, 瞷︽秆cost = 112283.33, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112276.68
Iter = 63, 瞷︽秆cost = 112260.20, ó进计 = 11, 繦诀家览Ω计 = 1, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112260.20
Iter = 64, 瞷︽秆cost = 112259.38, ó进计 = 11, 繦诀家览Ω计 = 1, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112259.38
Iter = 65, 瞷︽秆cost = 112253.86, ó进计 = 11, 繦诀家览Ω计 = 1, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 66, 瞷︽秆cost = 112265.99, ó进计 = 11, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 67, 瞷︽秆cost = 112331.79, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 68, 瞷︽秆cost = 112359.73, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 69, 瞷︽秆cost = 112352.45, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 70, 瞷︽秆cost = 112393.26, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 71, 瞷︽秆cost = 112396.22, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 72, 瞷︽秆cost = 112409.55, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 73, 瞷︽秆cost = 112403.78, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 74, 瞷︽秆cost = 112422.61, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 75, 瞷︽秆cost = 112395.79, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 76, 瞷︽秆cost = 112386.96, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 77, 瞷︽秆cost = 112372.28, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 78, 瞷︽秆cost = 112391.69, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 79, 瞷︽秆cost = 112392.25, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 80, 瞷︽秆cost = 112425.65, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 81, 瞷︽秆cost = 112402.47, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 82, 瞷︽秆cost = 112392.79, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 83, 瞷︽秆cost = 112370.08, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 84, 瞷︽秆cost = 112378.10, ó进计 = 11, 繦诀家览Ω计 = 6, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 85, 瞷︽秆cost = 112350.89, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 86, 瞷︽秆cost = 112357.12, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
